Base,Romanized,Yiddish,Gloss,Definition
shlog,aropgeshlogene,אַראָפּגעשלאָגענע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"hit, beat; fight (with zikh); churn (with puter)"
shlog,arayngeshlogene,אַרײַנגעשלאָגענע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"hit, beat; fight (with zikh); churn (with puter)"
shlog,aroysshlogndiks,אַרױסשלאָגנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,tsugeshlogene,צוגעשלאָגענע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"nail up; affix; close a deal"
shlog,oyfshlogndiks,אױפֿשלאָגנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"whisk, mix"
shlog,aroyfgeshlogener,אַרױפֿגעשלאָגענער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"nail up; affix"
shlog,aroystsushlogn,אַרױסצושלאָגן,V.INF,"hit, beat; fight (with zikh); churn (with puter)"
shlog,durkhgeshlogenem,דורכגעשלאָגענעם,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,funandershlogndiker,פֿונאַנדערשלאָגנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,aroysshlogndiker,אַרױסשלאָגנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,oysgeshlogns,אױסגעשלאָגנס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"recoup expenses, strike (the hour), knock out"
shlog,shlogndik,שלאָגנדיק,V.PRES.PTCP,"hit, beat; fight (with zikh); churn (with puter)"
shlog,durkhshlogn,דורכשלאָגן,V.INF,"colander; strainer; hit, beat; fight (with zikh); churn (with puter)"
shlog,tsutsushlogn,צוצושלאָגן,V.INF V.INF,"nail up; affix; close a deal"
shlog,arumtsushlogn,אַרומצושלאָגן,V.INF,"line (inside)"
shlog,avektsushlogn,אַװעקצושלאָגן,V.INF,"hit, beat; fight (with zikh); churn (with puter)"
shlog,araynshlogn,אַרײַנשלאָגן,V.INF,"hit, beat; fight (with zikh); churn (with puter)"
shlog,funandertsushlogn,פֿונאַנדערצושלאָגן,V.INF,"hit, beat; fight (with zikh); churn (with puter)"
shlog,arayngeshlogenem,אַרײַנגעשלאָגענעם,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,aroyfgeshlogns,אַרױפֿגעשלאָגנס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"nail up; affix"
shlog,araynshlogndik,אַרײַנשלאָגנדיק,PRES.PTCP,"hit, beat; fight (with zikh); churn (with puter)"
shlog,tsushlogndik,צושלאָגנדיק,PRES.PTCP PRES.PTCP,"nail up; affix; close a deal"
shlog,avekshlogn,אַװעקשלאָגן,V.INF,"hit, beat; fight (with zikh); churn (with puter)"
shlog,onshlogndiks,אָנשלאָגנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"thrash; repair; churn; propose; reach (with in/keyn)"
shlog,arumshlogn,אַרומשלאָגן,V.INF,"line (inside)"
shlog,araynshlogndikn,אַרײַנשלאָגנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,forgeshlogener,פֿאָרגעשלאָגענער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"suggest"
shlog,funandergeshlogene,פֿונאַנדערגעשלאָגענע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"hit, beat; fight (with zikh); churn (with puter)"
shlog,durkhshlogndikn,דורכשלאָגנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,opshlogndikn,אָפּשלאָגנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,aropshlogndikn,אַראָפּשלאָגנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,durkhshlogndik,דורכשלאָגנדיק,PRES.PTCP,"hit, beat; fight (with zikh); churn (with puter)"
shlog,tsurikgeshlogenem,צוריקגעשלאָגענעם,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,tsunoyftsushlogn,צונױפֿצושלאָגן,V.INF,"hit, beat; fight (with zikh); churn (with puter)"
shlog,tsunoyfgeshlogener,צונױפֿגעשלאָגענער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
